iter	Passed	Remaining
962	13360	513
963	13371	499
964	13384	485
965	13398	471
966	13415	457
967	13431	444
968	13448	430
969	13466	416
970	13483	402
971	13498	388
972	13514	375
973	13529	361
974	13543	347
975	13556	333
976	13566	319
977	13578	305
978	13590	291
979	13601	277
980	13612	263
981	13623	249
982	13635	235
983	13646	221
984	13657	207
985	13671	194
986	13681	180
987	13695	166
988	13707	152
989	13719	138
990	13735	124
991	13744	110
992	13755	96
993	13767	83
994	13778	69
995	13790	55
996	13803	41
997	13816	27
998	13827	13
999	13840	0
